Description,Question,Equation,Input Numbers,Output
roger was reading through his favorite book series . he had number0 books to read total . if he read number1 books each week,how many weeks would it take him to finish the series ?,/ number0 number1,30 6,5.0
amy was buying different soups . she bought number0 cans of chicken soup and number1 cans of tomato soup .,how many soups did she buy ?,+ number0 number1,6 3,9.0
adam was reading through his favorite book series . the first week he read number0 different books . the next week he read number1 books .,how many books did he read total ?,+ number0 number1,5 8,13.0
paige 's dresser drawers could hold number0 pieces of clothing each . if she had number1 drawers,how many pieces of clothing could it hold ?,* number0 number1,2 4,8.0
an architect was building a hotel downtown . he built it number0 stories tall with number1 rooms on each story .,how many rooms does the hotel have totaled ?,* number0 number1,3 8,24.0
isabel received number0 dollars for her birthday . later she found some toys that cost number1 dollars each .,how many of the toys could she buy ?,/ number0 number1,14 2,7.0
there are number0 students in a class . if the teacher put them into groups with number1 students in each group,how many groups would she have ?,/ number0 number1,30 5,6.0
haley 's mom was buying extra school supplies for haley and her sister . if she bought number0 reams of paper for haley and number1 reams for her sister,how many did she buy total ?,+ number0 number1,2 3,5.0
there are number0 students in the school band . if the band instructor put the students into rows with number1 students in each row,how many rows could he make ?,/ number0 number1,40 5,8.0
roger mowed his lawn number0 times total during the spring and summer . if he mowed it number1 times in the summer .,how many times did he mow in the spring ?,- number0 number1,15 9,6.0
robin bought number0 sodas for her and her friends . if they only drank number1 of them,how many extras did she have ?,- number0 number1,11 3,8.0
carol was sending out birthday invitations to her friends . if each package of invitations she bought had number0 invitations in it and she bought number1 packs,how many friends can she invite ?,* number0 number1,9 5,45.0
a designer was buying furniture for her new house . she bought number0 chairs for the living room and number1 for her kitchen .,how many chairs did she buy total ?,+ number0 number1,3 6,9.0
a contractor was buying wall outlets for a new house he was building . each room needed number0 outlets . if the house has number1 rooms,how many outlets does he need total ?,* number0 number1,6 7,42.0
john threw a halloween party where number0 people showed up . if only number1 dressed up,how many people did n't wear costumes ?,- number0 number1,13 6,7.0
a pet store took number0 birds out of a cage and had number1 still left inside .,how many birds were in the cage to start with ?,+ number0 number1,10 9,19.0
rachel picked number0 apples from her tree . now the tree has number1 apples still on it .,how many apples did the tree have to begin with ?,+ number0 number1,3 4,7.0
paige raised number0 goldfish in the pond but stray cats loved eating them . now she has number1 left .,how many goldfish disappeared ?,- number0 number1,15 4,11.0
cody cooked number0 dumplings . he ate number1 .,how many dumplings does cody have now ?,- number0 number1,14 7,7.0
sarah could send number0 text messages a day . if she sent number1,how many text messages does she have left she can send ?,- number0 number1,10 8,2.0
frank had $ number0 . after buying some new toys he had $ number1 left .,how much did he spend on toys ?,- number0 number1,16 8,8.0
robin 's hair was number0 inches long . if she cut off number1 inches,how long is her hair now ?,- number0 number1,15 5,10.0
at the fair megan had $ number0 to spend . she spent $ number1 on rides .,how much money does she have left ?,- number0 number1,17 6,11.0
a chef had number0 apples . after making a pie he had number1 left .,how many apples did he use in the pie ?,- number0 number1,16 7,9.0
ned ordered some pizzas for a party . during the party number0 were eaten . now he has number1 left .,how many pizzas did ned order for the party ?,+ number0 number1,4 7,11.0
a baker sold number0 cakes . now he has number1 cakes .,how many cakes did the baker have to start with ?,+ number0 number1,12 3,15.0
jerry had $ number0 . he spent $ number1 on new video games .,how much money does he have now ?,- number0 number1,18 6,12.0
dave had number0 apps on his phone . after deleting some he had number1 left .,how many apps did he delete ?,- number0 number1,16 8,8.0
a waiter had number0 customers . if number1 left,how many customers would the waiter still have ?,- number0 number1,18 6,12.0
megan had number0 bottles of water . if she drank number1 of them,how many bottles would megan have left ?,- number0 number1,17 3,14.0
jenny was told to clean up her room in number0 days or she could not go to her best friend 's birthday party . it is number1 days left but jenny has cleaned up her room .,how many days did she spend ?,- number0 number1,14 3,11.0
maria took number0 fish out of her fish tank . now there are number1 fish in the tank .,how many fish were in the tank to start with ?,+ number0 number1,16 3,19.0
a museum had number0 paintings . if they got rid of number1 of them,how many pictures would they have left ?,- number0 number1,13 8,5.0
a chef used number0 apples to make a pie . now he has number1 apples left .,how many apples did he have before he made the pie ?,+ number0 number1,15 4,19.0
megan gave number0 acorns to her sister . now megan has number1 acorns left .,how many acorns did megan have in the beginning ?,+ number0 number1,7 9,16.0
a chef had number0 apples . if he used number1 of them to make a pie,how many apples would he still have ?,- number0 number1,14 8,6.0
for halloween will got number0 pounds of candy . after giving some to haley he had number1 pounds left .,how many pounds did he give to haley ?,- number0 number1,15 9,6.0
amy had number0 pencils . if she used number1 of them,how many would she have left ?,- number0 number1,12 4,8.0
victor had number0 apps on his phone . he deleted number1 of them .,how many apps does victor have left ?,- number0 number1,19 8,11.0
edward spent $ number0 . now he has $ number1 .,how much did edward have before he spent his money ?,+ number0 number1,13 6,19.0
a package had number0 cookies in it . after eating some there were number1 left .,how many were eaten ?,- number0 number1,18 9,9.0
a tape was number0 meters long . haley used some to seal cartons . now the tape is number1 meters long .,how much tape did she use ?,- number0 number1,13 6,7.0
ned gave away number0 of his video games to a friend . now ned has number1 games .,how many games did ned have before he gave the games away ?,+ number0 number1,13 6,19.0
at the arcade dave had won number0 tickets . if he used number1 to buy some toys,how many tickets did dave have left ?,- number0 number1,13 6,7.0
sally memorized number0 poems . after some time she could only recite number1 of them .,how many poems did she forget ?,- number0 number1,8 3,5.0
frank got number0 pounds of mushroom for family barbecue . if they ate number1 pounds,how many pounds were left ?,- number0 number1,15 8,7.0
adam put number0 items in the shopping cart . after deleting some he had number1 left .,how many items did adam delete ?,- number0 number1,18 8,10.0
kaleb has number0 shirts . if he got rid of number1 of them,how many shirts would kaleb have ?,- number0 number1,17 7,10.0
while playing a game edward had number0 lives . he lost number1 lives on a hard level .,how many lives does he have left ?,- number0 number1,15 8,7.0
a group was sitting at a lunch table . after finishing number0 people left and there were number1 left at the table .,how many people were at the table to start with ?,+ number0 number1,6 5,11.0
a clown had number0 balloons . he gave number1 away at a party .,how many balloons does he still have ?,- number0 number1,16 4,12.0
debby owned number0 dvds . if she sold number1 of them,how many would she have left ?,- number0 number1,13 6,7.0
the host prepared number0 cakes for the party . after the party he had number1 left .,how many cakes did people eat in the party ?,- number0 number1,19 9,10.0
frank had number0 boxes . if he filled number1 with toys,how many boxes does he still have ?,- number0 number1,13 8,5.0
mike got number0 gb of space on his disk drive to backup his files . if his files would take up number1 gb,how many gb would he have left ?,- number0 number1,28 26,2.0
there are number0 cats in the little town . if number1 of them are a asleep,how many cats are still awake ?,- number0 number1,98 92,6.0
olivia owned number0 pennies . after she bought an apple she had number1 pennies left .,how many did she spend for the apple ?,- number0 number1,93 56,37.0
a farmer had number0 tomatoes from his garden . if he picked number1 of them,how many would he have left ?,- number0 number1,97 83,14.0
there were number0 onions on the shelf . number1 were sold .,how many onions is there on the shelf now ?,- number0 number1,98 65,33.0
paul had number0 books . after selling some in a garage sale he had number1 left .,how many books did he sell ?,- number0 number1,86 78,8.0
olivia had number0 pieces of paper in her folder . she used number1 pieces .,how many pieces does she have now ?,- number0 number1,81 56,25.0
isabel had some candy . she gave her friend number0 pieces and had number1 left .,how many pieces did she have to start with ?,+ number0 number1,27 61,88.0
when amy got to the fair she had $ number0 . when she left she had $ number1 .,how much money did she spend at the fair ?,- number0 number1,15 11,4.0
while playing a game kaleb had number0 lives . after losing some lives he had number1 left .,how many lives did kaleb lose ?,- number0 number1,98 73,25.0
maria had number0 pieces of candy . she ate number1 pieces .,how many pieces of candy does maria have now ?,- number0 number1,67 64,3.0
a store has number0 shirts . after selling some there were number1 left .,how many did they sell ?,- number0 number1,49 28,21.0
billy had number0 cherries . he ate number1 of them .,how many cherries does billy have left ?,- number0 number1,74 72,2.0
adam had some quarters . he spent number0 of them at the arcade and had number1 left over .,how many quarters did he have to start with ?,+ number0 number1,9 79,88.0
at a bus stop number0 people got off the bus . now there were number1 people on the bus .,how many people were on the bus before ?,+ number0 number1,47 43,90.0
it takes mike number0 minutes to walk to school . if he rides a bicycle to school it would save him number1 minutes .,how much time did mike save ?,- number0 number1,98 64,34.0
a farmer had number0 tomatoes from his garden . after picking some he had number1 left .,how many did he pick ?,- number0 number1,46 3,43.0
carol had number0 pieces of tissue paper . after blowing her nose she had number1 left .,how many pieces of tissue paper did she use ?,- number0 number1,97 93,4.0
a chef had number0 apples . after making some pies he had number1 left .,how many apples did he use ?,- number0 number1,46 14,32.0
for halloween oliver got number0 pounds of candy . after giving some to janet he had number1 pounds left .,how many pounds did he give to janet ?,- number0 number1,78 68,10.0
there were number0 people on the train . at the next stop number1 people got off .,how many people are there on the train now ?,- number0 number1,58 45,13.0
adam needed to climb number0 stair steps to reach the rooftop . he already climbed number1 .,how many stair steps do left for adam to climb now ?,- number0 number1,96 74,22.0
there were number0 people on the train . after the first stop there were number1 people left .,how many people got off ?,- number0 number1,48 31,17.0
mike had number0 books but he sold number1 at a garage sale .,how many books does mike still have ?,- number0 number1,51 45,6.0
jessie weighted number0 kilograms . after she started to go jogging everyday now she weights number1 kilograms .,how much weight did she lose in the past ?,- number0 number1,74 67,7.0
at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .,how many tickets did the yoyo cost ?,- number0 number1,48 32,16.0
for a party adam bought number0 cupcakes . if number1 were eaten,how many cupcakes would adam have left ?,- number0 number1,97 58,39.0
for a birthday party a clown gave away number0 balloons . now he has number1 balloons left .,how many balloons did the clown have to start with ?,+ number0 number1,6 55,61.0
a chef used number0 cherries to make a pie . now he has number1 cherries left .,how many cherries did he have before he made the pie ?,+ number0 number1,39 58,97.0
there were number0 dollars in olivia 's wallet . after she visited a supermarket there were number1 dollars left .,how much did she spend ?,- number0 number1,94 78,16.0
while playing a video game ned lost number0 lives . now he has number1 lives .,how many lives did ned have at the start ?,+ number0 number1,13 70,83.0
will was picking up sticks from his yard . he picked up number0 but there were still number1 left .,how many sticks were originally in the yard ?,+ number0 number1,38 61,99.0
gwen prepared number0 books to sell in the flea market . after the activity ended she had number1 books left .,how many did she sell ?,- number0 number1,98 96,2.0
a baker made number0 cakes . if he sold number1 of them,how many cakes would the baker still have ?,- number0 number1,90 83,7.0
a chef had number0 cherries . if he used number1 of them to make a pie,how many cherries would he still have ?,- number0 number1,77 60,17.0
carol had number0 pieces of paper in her folder . after a week she had number1 left .,how many pieces did she use in the week ?,- number0 number1,81 38,43.0
isabel had number0 ds games . if she gave number1 to her friend,how many would she have left ?,- number0 number1,90 87,3.0
maria stored number0 cloves of garlic in the kitchen . she used number1 for roast chicken for dinner .,how many cloves of garlic does she have left ?,- number0 number1,93 86,7.0
a store has number0 shirts . if they sold number1 of them,how many shirts would they have ?,- number0 number1,35 30,5.0
paige used number0 of her pencils . now she has number1 pencils .,how many pencils did paige have to begin with ?,+ number0 number1,3 91,94.0
adam picked number0 strawberries . after eating some he had number1 left .,how many strawberries did adam eat ?,- number0 number1,35 33,2.0
janet had number0 paper clips on the desk when she woke up in the morning . before going to bed she found there were number1 left .,how many paper clips did she use today ?,- number0 number1,85 26,59.0
at the zoo a cage had number0 snakes . if number1 were hiding,how many snakes were not hiding ?,- number0 number1,68 42,26.0
a clown had number0 balloons . after a party he had number1 left .,how many balloons did he use at the party ?,- number0 number1,82 16,66.0
a pet store had number0 gerbils . if they sold number1 of them,how many would they have left ?,- number0 number1,85 69,16.0
in a game you start with number0 lives . if you got number1 extra lives in the first level and number2 more in the second,how many lives would you have ?,+ + number0 number1 number2,2 6 11,19.0
a chef was making pies . he made number0 apple number1 pecan and number2 pumpkin pies .,how many pies did he make total ?,+ + number0 number1 number2,2 4 7,13.0
a pet store had number0 white cats number1 black cats and number2 gray cats .,how many cats did they have total ?,+ + number0 number1 number2,2 10 3,15.0
jerry was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds .,what is the combined weight of all number3 boxes ?,+ + number0 number1 number2,2 11 5 3,18.0
while playing a trivia game team a scored number0 points team b scored number1 points and team c scored number2 points .,how many points were scored total ?,+ + number0 number1 number2,2 9 4,15.0
a pet store had number0 dogs . on sunday they got number1 more . on monday they got number2 more .,how many dogs does the pet store have now ?,+ + number0 number1 number2,2 5 3,10.0
for lunch number0 students selected chocolate milk number1 selected strawberry milk and number2 selected regular milk .,how many milks were taken total ?,+ + number0 number1 number2,2 15 3,20.0
tom already had number0 pieces of candy . his friend gave him number1 more and then tom bought another number2 how,many pieces does tom have now ?,+ + number0 number1 number2,2 7 10,19.0
while organizing her files bianca deleted number0 pictures number1 songs and number2 text files .,what is the total number of files she deleted ?,+ + number0 number1 number2,2 8 7,17.0
roger had number0 new crayons number1 used crayons and number2 broken crayons .,how many crayons did roger have total ?,+ + number0 number1 number2,2 4 8,14.0
for a new year 's party number0 red balloons number1 green balloons and number2 white balloons were used .,what is the total number of balloons used ?,+ + number0 number1 number2,2 12 6,20.0
a vet was weighing number0 cats . the first weighed number1 pounds . the second weighed number2 pounds and the last weighed number3 pounds .,what is their combined weight ?,+ + number1 number2 number3,3 2 7 4,13.0
henry already had number0 dollars but earned another number1 dollars doing chores . his friend had number2 dollars . if they put their money together,how much would they have ?,+ + number0 number1 number2,5 2 13,20.0
tom read number0 books in may number1 in june and number2 in july .,how many books did tom read ?,+ + number0 number1 number2,2 6 10,18.0
on a table there were number0 green apples number1 red apples and number2 yellow apples .,how many apples were on the table ?,+ + number0 number1 number2,2 3 14,19.0
henry bought number0 new fireworks and his friend bought number1 if they already had number2 saved from last year,how many do they have now ?,+ + number0 number1 number2,2 3 6,11.0
a pet store had number0 siamese cats and number1 house cats . during a sale they sold number2 cats .,how many cats do they have left ?,- + number0 number1 number2,13 5 10,8.0
oliver had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . if he had only washed number2 of them by the time school started,how many did he not wash ?,- + number0 number1 number2,39 47 20,66.0
while on vacation debby took number0 pictures at the zoo and number1 at the museum . if she later deleted number2 of the pictures,how many pictures from her vacation did she still have ?,- + number0 number1 number2,24 12 14,22.0
faye and her mom were picking carrots from their garden . faye picked number0 and her mother picked number1 if only number2 of the carrots were good,how many bad carrots did they have ?,- + number0 number1 number2,23 5 12,16.0
at the schools book fair sam bought number0 adventure books and number1 mystery books . if number2 of the books were used,how many new books did he buy ?,- + number0 number1 number2,13 17 15,15.0
amy had number0 music files and number1 video files on her flash drive . if she deleted number2 of the files,how many files were still on her flash drive ?,- + number0 number1 number2,26 36 48,14.0
emily was playing a trivia game . in the first round she scored number0 points and in the second round she scored number1 points . in the last round she lost number2 points .,how many points did she have at the end of the game ?,- + number0 number1 number2,16 33 48,1.0
paige had number0 math problems and number1 science problems for homework . if she finished number2 of the problems at school,how many problems did she have to do for homework ?,- + number0 number1 number2,43 12 44,11.0
edward started his own lawn mowing business . in the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . if he had to spend number2 dollars buying supplies,how much money did he end up with ?,- + number0 number1 number2,2 27 5,24.0
for the school bake sale amy made pastries . she baked number0 cupcakes and number1 cookies . after the sale she had number2 to take back home .,how many pastries did she sell ?,- + number0 number1 number2,15 48 12,51.0
while shopping maria bought number0 green towels and number1 white towels . if she gave her mother number2 of them,how many towels did maria end up with ?,- + number0 number1 number2,35 21 34,22.0
there were number0 girls and number1 boys trying out for the schools basketball team . if only number2 of them got called back,how many students did n't make the cut ?,- + number0 number1 number2,17 32 10,39.0
a waiter at 'the greasy spoon ' restaurant had number0 customers to wait on . during the lunch rush he added another number1 customers . if number2 of the customers did n't leave him a tip,how many customers did leave a tip ?,- + number0 number1 number2,39 12 49,2.0
the school cafeteria ordered number0 red apples and number1 green apples for students lunches . but if only number2 students wanted fruit,how many extra did the cafeteria end up with ?,- + number0 number1 number2,25 17 10,32.0
cody had number0 dollars . for his birthday he got number1 more dollars but spent number2 on a new game .,how much money does he have now ?,- + number0 number1 number2,45 9 19,35.0
a chef only had number0 apples so he ordered number1 more bags . if each bag has number2 apples,how many apples does he have total ?,+ * number1 number2 number0,3 2 9,21.0
edward earned number0 dollars for every lawn he mowed . if he mowed number1 lawns and he already had number2 dollars saved up,how much money does he have total ?,+ * number1 number0 number2,8 5 7,47.0
at a comic convention janet wanted to buy number0 comics but each one costs number1 dollars plus it costs number2 to even get in .,how much money should she take with her so she can get in and buy what she wants ?,+ * number0 number1 number2,8 4 2,34.0
olivia had number0 math problems to complete . she spent about number1 minutes on each problem and then she spent number2 minutes checking her answers .,how many minutes did she spend total ?,+ * number0 number1 number2,7 4 3,31.0
before lunch a waitress had already earned $ number0 in tips . after lunch she had number1 customers and each customer gave her a number2 dollar tip .,how much money did she earn total ?,+ * number1 number2 number0,5 7 2,19.0
at band practice there were number0 rows of students with number1 students in each row and then another number2 students in the back .,how many students were there total ?,+ * number0 number1 number2,4 8 9,41.0
while playing a game frank defeated number0 enemies . each enemy earned him number1 points . then he got another number2 points for completing the level .,how many points did he earn total ?,+ * number0 number1 number2,6 9 8,62.0
wendy 's brother had number0 pieces of candy . wendy had number1 boxes with number2 pieces each .,how many pieces did they have total ?,+ * number1 number2 number0,6 2 3,12.0
a baker made number0 batches of chocolate chip cookies . each batch had number1 cookies in it . then he made an additional number2 oatmeal cookies just in case someone did n't want chocolate chip .,how many cookies did he bake total ?,+ * number0 number1 number2,2 3 4,10.0
a report said that each day the average youtube viewer watches number0 videos with each video lasting number1 minutes . additionally they also watch number2 minutes of ads . according to the report,how many minutes total do people spend on youtube ?,+ * number0 number1 number2,2 7 3,17.0
zoe bought an app that cost $ number0 dollars . then each month you have to pay $ number1 to play online . if she played the game online for number2 months,how much money would she have spent total for the app and the online access ?,+ * number1 number2 number0,5 8 2,21.0
adam had number0 boxes of toys . each box had number1 toys . later adam bought number2 more toys .,how many toys did he have total ?,+ * number0 number1 number2,8 6 5,53.0
a company was offering a special on cell phones for $ number0 each . but only if you spent number1 dollars a month for number2 months .,how much would it end up costing you total if you bought number3 phone ?,+ * number1 number2 number0,2 7 4 1,30.0
at the arcade amy had number0 tickets she saved from the last time she went . this time she played a game number1 times and earned number2 tickets each time she played .,how many tickets does she have now ?,+ * number1 number2 number0,6 7 5,41.0
a grocery store had number0 bottles of regular soda and number1 bottles of diet soda .,how many bottles did they have total ?,+ number0 number1,49 35,84.0
while playing a game sam had number0 points . if he scored another number1 points,how many points would he have total ?,+ number0 number1,92 3,95.0
in the first half of a trivia game kaleb scored number0 points . in the second half he scored number1 points .,how many points did he score total ?,+ number0 number1,43 23,66.0
mike owned number0 baseball cards . for his birthday he got number1 more .,how many cards does mike have total ?,+ number0 number1,64 18,82.0
for a party henry spent number0 dollars on food and number1 dollars on drinks .,how much did henry spend total ?,+ number0 number1,45 33,78.0
a restaurant sold number0 sodas in the morning and number1 in the afternoon .,how many sodas did they sell total ?,+ number0 number1,77 19,96.0
bianca spent number0 minutes drawing at school and number1 minutes drawing at home .,how many minutes total did she spend drawing ?,+ number0 number1,22 19,41.0
a fast food restaurant sold number0 small hotdogs and number1 large hotdogs .,how many hotdogs did they sell total ?,+ number0 number1,58 21,79.0
henry had $ number0 . later he sold some of his old toys and got another $ number1 .,how much money does he have total ?,+ number0 number1,54 2,56.0
an aquarium had number0 fish in it . later they added number1 fish .,how many fish are in the aquarium now ?,+ number0 number1,10 3,13.0
isabel had number0 pieces of candy . her friend gave her number1 more pieces .,how many pieces of candy did isabel have total ?,+ number0 number1,68 25,93.0
maria had number0 sheets of paper in her desk and number1 more in her backpack .,how many did she have total ?,+ number0 number1,50 41,91.0
on facebook debby had number0 photos of her friends and number1 photos of her family .,how many photos did she have total ?,+ number0 number1,63 23,86.0
adam had number0 dollars saved up . after doing some chores his mother gave him another number1 dollars .,how much money does he have total ?,+ number0 number1,79 13,92.0
at the fair amy started with number0 tickets and then bought number1 more .,how many tickets did amy have total ?,+ number0 number1,33 21,54.0
mike collected number0 cans to recycle on monday and number1 more on tuesday .,how many cans did mike collect all together ?,+ number0 number1,71 27,98.0
a baker already had number0 cakes but made number1 extra .,how many cakes did the baker have total ?,+ number0 number1,78 9,87.0
a pet store had number0 birds that talked and number1 that did n't .,how many birds did the pet store have total ?,+ number0 number1,64 13,77.0
at the zoo zoe took number0 pictures . if her sister took another number1 pictures,how many did they take total ?,+ number0 number1,67 17,84.0
at the arcade henry had won number0 tickets . later he won number1 more tickets .,how many tickets did henry have total ?,+ number0 number1,58 40,98.0
katie had number0 ds games and her friend had number1 games .,how many do they have total ?,+ number0 number1,72 23,95.0
while exercising paul did number0 push-ups in the morning and number1 more in the afternoon .,how many push-ups did paul do total ?,+ number0 number1,59 38,97.0
a farmer planted number0 seeds on wednesday and another number1 seeds on thursday .,how many seeds did he plant total ?,+ number0 number1,20 2,22.0
haley watched tv for number0 hours on saturday and number1 hours on sunday .,how many hours did haley watch tv total ?,+ number0 number1,6 3,9.0
gwen had number0 fish and her sister had number1 fish .,how many fish did they have total ?,+ number0 number1,10 5,15.0
victor had $ number0 . for his allowance he got another $ number1 .,how much money does he have total ?,+ number0 number1,10 8,18.0
for halloween frank got number0 pounds of candy and gwen got number1 pounds of candy .,what is the combined weight they received ?,+ number0 number1,10 7,17.0
a store sold number0 cold drinks and number1 hot drinks .,how many drinks did they sell total ?,+ number0 number1,8 3,11.0
faye had number0 books . if she bought number1 more at a yard sale,how many would she have total ?,+ number0 number1,7 12,19.0
john has number0 shirts . later he bought number1 more shirts .,how many shirts does john have total ?,+ number0 number1,12 4,16.0
roger went to the movies number0 times last year and number1 times this year .,how many times did roger go to the movies all together ?,+ number0 number1,15 3,18.0
olivia picked up number0 pieces of paper from the floor . if edward picked up number1 pieces,how many did they pick up total ?,+ number0 number1,16 3,19.0
victor had number0 books . during the book fair he bought number1 more .,how many books did victor have total ?,+ number0 number1,9 3,12.0
katie had number0 pencils in her desk and number1 more in her backpack .,how many did she have total ?,+ number0 number1,12 3,15.0
debby had number0 pounds of flour . if she bought another number1 pounds,how many pounds would she have total ?,+ number0 number1,12 4,16.0
jerry owned number0 video games . for his birthday he got number1 more .,how many games did jerry have total ?,+ number0 number1,7 2,9.0
there were number0 people on the bus . at the next stop number1 more people got on the bus .,how many people are there on the bus now ?,+ number0 number1,10 3,13.0
for halloween faye scored number0 pieces of candy . she ate number1 pieces the first night and then her sister gave her number2 more pieces .,how many pieces of candy does faye have now ?,+ - number0 number1 number2,47 25 40,62.0
a waiter had number0 customers to wait on . if number1 customers left and he got another number2 customers,how many customers would he have ?,+ - number0 number1 number2,47 41 20,26.0
tiffany was playing a video game and had number0 lives . in a hard part of the game she lost number1 lives . if she got number2 more lives in the next level,how many lives would she have ?,+ - number0 number1 number2,43 14 27,56.0
a teacher had number0 worksheets to grade . if she graded number1 but then another number2 were turned in,how many worksheets would she have to grade ?,+ - number0 number1 number2,38 4 15,49.0
a book store had number0 books in the bargin bin . if they sold number1 books but then put number2 more in the bin,how many books would be in the bin ?,+ - number0 number1 number2,4 3 10,11.0
bianca had number0 coloring books . if she gave away number1 of them but then bought number2 more,how many would she have total ?,+ - number0 number1 number2,45 6 20,59.0
robin had number0 songs on her number1 player . if she deleted number2 old songs from it and then added number3 new songs,how many songs does she have on her number4 player ?,+ - number0 number2 number3,30 3 8 10 3,32.0
the school cafeteria had number0 apples . if they used number1 to make lunch for the students and then bought number2 more,how many apples would they have ?,+ - number0 number1 number2,17 2 23,38.0
nancy picked number0 carrots from her garden . if she threw out number1 of them and then picked number2 more the next day,how many carrots would she have total ?,+ - number0 number1 number2,12 2 21,31.0
john had number0 socks . if he threw away number1 old number2 that did n't fit and bought number3 new number4,how many socks would he have ?,+ - number0 number1 number3,33 19 1 13 1,27.0
zoe had number0 bottles of water in her fridge . if she drank number1 of them and then bought number2 more,how many bottles would she have ?,+ - number0 number1 number2,42 25 30,47.0
luke had number0 dollars in january . by march he had spent number1 dollars . if he got another number2 dollars from his mom,how much money would he have ?,+ - number0 number1 number2,48 11 21,58.0
a florist had number0 roses . if she sold number1 of them and then later picked number2 more,how many roses would she have ?,+ - number0 number1 number2,50 15 21,56.0
a store had number0 oranges in a bin . if they threw away number1 of the old number2 and put number3 new number4 in the bin,how many would be in the bin ?,+ - number0 number1 number3,40 25 1 21 1,36.0
vanessa uploaded number0 pictures from her phone and number1 from her camera to facebook . if she sorted the pics into number2 different albums with the same amount of pics in each album,how many pictures were in each of the albums ?,/ + number0 number1 number2,23 7 5,6.0
paul made number0 dollars mowing lawns and number1 dollars weed eating . if he only spent number2 dollar a week,how long would the money last him ?,/ + number0 number1 number2,44 28 9,8.0
the school 's baseball team had number0 new players and number1 returning players . if the coach put them into groups with number2 players in each group,how many groups would there be ?,/ + number0 number1 number2,2 22 3,8.0
chloe and her friends were recycling paper for their class . for every number0 pounds they recycled they earned number1 point . if chloe recycled number2 pounds and her friends recycled number3 pounds,how many points did they earn ?,/ + number2 number3 number0,6 1 28 2,5.0
a pet shelter had number0 puppies when another number1 were brought in . if number2 puppies a day are adopted,how long would it take for all of them to be adopted ?,/ + number0 number1 number2,23 2 5,5.0
haley 's old washing machine could only wash number0 pieces of clothing at a time . if she had to wash number1 shirts and number2 sweaters,how many loads would she have to do ?,/ + number1 number2 number0,7 2 33,5.0
dave was organizing his baseball cards in a binder with number0 on each page . if he had number1 new cards and number2 old cards to put in the binder,how many pages would he use ?,/ + number1 number2 number0,8 3 13,2.0
a vase can hold number0 flowers . if you had number1 carnations and number2 roses,how many vases would you need to hold the flowers ?,/ + number1 number2 number0,9 4 23,3.0
for homework megan had number0 math problems and number1 spelling problems . if she can finish number2 problems in an hour,how long will it take her to finish all the problems ?,/ + number0 number1 number2,36 28 8,8.0
gwen 's class is going on a field trip to the zoo . if each van can hold number0 people and there are number1 students and number2 adults going,how many vans will they need ?,/ + number2 number1 number0,7 33 9,6.0
while playing at the arcade kaleb won number0 tickets playing 'whack a mole ' and number1 tickets playing 'skee ball ' . if he was trying to buy candy that cost number2 tickets a piece,how many could he buy ?,/ + number0 number1 number2,8 7 5,3.0
chloe was making baggies of cookies with number0 cookies in each bag . if she had number1 chocolate chip cookies and number2 oatmeal cookies,how many baggies could she make ?,/ + number2 number1 number0,7 34 29,9.0
at the town carnival billy rode the ferris wheel number0 times and the bumper cars number1 times . if each ride cost number2 tickets,how many tickets did he use ?,* + number0 number1 number2,7 3 5,50.0
paul bought number0 boxes of chocolate candy and number1 boxes of caramel candy . if each box has number2 pieces inside it,how much candy did he have total ?,* + number0 number1 number2,6 4 9,90.0
at billy 's restaurant a group with number0 adults and number1 children came in to eat . if each meal cost number2 dollars,how much was the bill ?,* + number0 number1 number2,2 5 3,21.0
haley 's favorite band was holding a concert where tickets were number0 dollars each . haley bought number1 tickets for herself and her friends and number2 extra tickets in case anyone else wanted to go .,how much did she spend ?,* + number1 number2 number0,4 3 5,32.0
tiffany had number0 pages of math homework and number1 pages of reading homework . if each page had number2 problems on it,how many problems did she have to complete total ?,* + number0 number1 number2,6 4 3,30.0
zoe was unboxing some of her old winter clothes . she found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,how many pieces of winter clothing did zoe have total ?,* + number1 number2 number0,8 4 6,80.0
gwen was organizing her book case making sure each of the shelves had exactly number0 books on it . if she had number1 shelves of mystery books and number2 shelves of picture books,how many books did she have total ?,* + number1 number2 number0,4 5 3,32.0
rachel bought number0 new chairs and number1 new tables for her house . if she spent number2 minutes on each piece furniture putting it together,how many minutes did it take her to finish ?,* + number0 number1 number2,7 3 4,40.0
a store had number0 coloring books in stock . they ended up putting them on sale and getting rid of number1 of them . the put the number2 they still had onto shelves with number3 on each shelf .,how many shelves did they use ?,/ - number0 number1 number3,87 33 1 6,9.0
a waiter had number0 customers in his section . if number1 of them left and the rest of his tables had number2 people at each table,how many tables did he have ?,/ - number0 number1 number2,62 17 9,5.0
tom had number0 pieces of clothing to wash. he put number1 of them in number2 load but decided to split the rest into number3 equal loads .,how many pieces of clothing could go in each of the small loads ?,/ - number0 number1 number3,36 18 1 2,9.0
