input	Equation
there are number0 flowers and number1 bees .what 's the difference of the number of flowers and bees over there ?	- number0 number1
the farmer had number0 apples . he gave number1 apples to his neighbor .how many apples does he have now ?	- number0 number1
luke had number0 dollars in january . by march he had spent number1 dollars . if he got another number2 dollars from his momhow much money would he have ?	+ - number0 number1 number2
in haley 's class number0 are boys who love to play marbles . if haley has number1 marbleshow many will each of the boys receive ?	/ number1 number0
dave was making ice using ice trays . he originally had number0 ice cubes . but made number1 more cubes .how many ice cubes did he have totaled ?	+ number0 number1
while playing a game edward had number0 lives . he lost number1 lives on a hard level .how many lives does he have left ?	- number0 number1
after visiting the museum benjamin went back to the hotel where he prepared for new year 's eve at the annual times square ball drop . to get there he took number0 steps to the rockefeller center then number1 steps to times square itself .how many steps did he take before reaching times square ?	+ number0 number1
a store sold number0 cold drinks and number1 hot drinks .how many drinks did they sell total ?	+ number0 number1
gary had number0 dollars . he spent number1 dollars on a pet snake .how many dollars did gary have left ?	- number0 number1
jake set up a candy stand in his front yard . he has number0 pieces of candy to sell . he sold number1 pieces of candy on monday . he sold much more than that on tuesday . by wednesday jakes only had number2 pieces left .how many pieces of candy did jake sell on tuesday ?	- - number0 number1 number2
zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary .how many push-ups did david do ?	+ number0 number1
bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . if the stones were sold at $ number1 eachhow much money did bryan get in total ?	* number0 number1
betty also bought number0 shiny blue round stones . if number1 pieces of this stone is in each bracelethow many bracelets of blue shiny round stones will there be ?	/ number0 number1
jerry was playing the ring toss at the carnival . all together he used number0 rings . if each game you get number1 ringshow many games did he play ?	/ number0 number1
mrs. sheridan has number0 cats . mr. sheridan gave her number1 more cats .how many cats does mrs. sheridan have altogether ?	+ number0 number1
victor bought several boxes of books at a yard sale and ended up with number0 books total . if each box had number1 bookshow many boxes did he buy ?	/ number0 number1
professor treehead of the flora university requested his students to participate . he said that they planted number0 species of trees in the natural park number1 species of trees in the neighboring forest and number2 species of trees all around different locations in town .how many species of trees were planted by the students ?	+ + number0 number2 number1
faye was placing her pencils into rows with number0 pencils in each row . if she had number1 pencilshow many rows could she make ?	/ number1 number0
for the frosting and final touches willie will need to have number0 lbs . of whipped cream . if he got number1 lbs . of cream from his farmhow much more cream is needed to be bought ?	- number0 number1
antonia has number0 barbie dolls . she packs away them in number1 wardrobes . if there are number2 barbie dolls in the first wardrobehow many more barbie dolls are there in the second wardrobe than the first ?	- number0 * number2 number1
white t-shirts can be purchased in packages of number0 if mom buys number1 packageshow many white t-shirts will she have ?	* number0 number1
jerry had $ number0 . he spent $ number1 on new video games .how much money does he have now ?	- number0 number1
being his favorite michael has number0 times more flying robots than tom . if tom has number1 flying robotshow many flying robots does michael have ?	* number0 number1
maura collects seashells every summer . her family stays at the beach house for number0 days . this summer maura found number1 seashells . she gave some to her little sister . maura then had number2 seashells .how many seashells did maura give to her sister ?	- number1 number2
alexa and katerina stood on a scale together . the scale read number0 pounds . alexa knows she weighs number1 pounds .how much does katerina weigh ?	- number0 number1
at the fair the 'twirly tea cups ' ride can hold number0 people per teacup . if the ride has number1 tea cupshow many total people can ride at a time ?	* number0 number1
mrs. sheridan has number0 fish . her sister gave her number1 more fish .how many fish does she have now ?	+ number0 number1
bruno had some story books . he lost number0 of them and his dad gave him number1 more books . if he had number2 books after thathow many books did bruno have at first ?	+ - number2 number1 number0
paul had number0 books . after selling some in a garage sale he had number1 left .how many books did he sell ?	- number0 number1
greg wants to buy a $ number0 scooter . he has saved $ number1 so far .how much more money does greg need ?	- number0 number1
carol had number0 pieces of paper in her folder . after a week she had number1 left .how many pieces did she use in the week ?	- number0 number1
helen 's mother brought number0 hotdogs . after a few hours dylan 's mother arrived with number1 hotdogs .how many hotdogs do they have altogether ?	+ number0 number1
kale was drawing on scrap paper . he could fit number0 drawings on each page . if he has number1 pageshow many drawings can he make ?	* number0 number1
the sanctuary also includes several swamp areas where most of the reptiles usually reside . if there are number0 swamps each having number1 different reptileshow many reptiles are living in the swamp areas ?	* number0 number1
vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees eachhow many people are working for the party ?	* number0 number1
allen charles lex and shiela spent days reading books for their book report . the texts were printed very small so they were only able to cover very few pages a day . allen read about the solar system . he read number0 pages a day of a book which has number1 pages .how many days did it take allen to finish reading the book ?	/ number1 number0
dean went to the beach with his friends to enjoy the last weeks of summer . when they got to the beach they rented a house for them to stay in for a couple of weeks . if there are number0 of them including dean and each paid $ number1 for the renthow much did they pay in total ?	* number0 number1
mikey had number0 leaves . some of her leaves blew away . now she has number1 leaves left .how many of her leaves blew away ?	- number0 number1
number0 people are watching a movie in a theater . the theater has number1 seats .how many seats are empty in the theater ?	- number1 number0
for the roof john would need number0 sets of metal bars for support . if each set has number1 metal barshow many metal bars are there in all ?	* number0 number1
when relatives visit haley and her family she and her cousins do origami . if she has number0 origami papers to give away to her number1 cousinshow many will each receive if she gives everyone the same number of origami papers ?	/ number0 number1
there are number0 different books in the 'crazy silly school ' series . if you read number1 of the bookshow many more do you still have to read ?	- number0 number1
there are number0 stickers on a page . if you have number1 pages of stickershow many stickers do you have ?	* number0 number1
cheryl and lori started a lemonade stand on friday . they bought number0 plastic cups . they sold a lot of lemonade and only had number1 cups left .how many cups did cheryl and lori use ?	- number0 number1
the razorback t-shirt shop sells their t-shirts for $ number0 . last week they sold number1 t-shirts .how much money did they make last week ?	* number0 number1
connie has number0 marbles . juan has number1 more marbles than connie .how many marbles does juan have ?	+ number0 number1
marcus has number0 baseball cards . he has number1 more than carter .how many baseball cards does carter have ?	- number0 number1
last week howard had number0 dollars . he washed windows over the weekend and now has number1 dollars .how much money did he make washing windows ?	- number1 number0
across the river he fell into a hole . to get out he needs to fill it with number0 gallons of water . if the hole initially has number1 gallonshow much water does he need to fill it ?	- number0 number1
there were number0 parents in the program and number1 pupils too .how many people were present in the program ?	+ number0 number1
laura has number0 blocks and number1 cards . if she shares the blocks among number2 friendshow many blocks does each friend get ?	/ number0 number2
it 's basketball season in ashford elementary school . chuck the team captain of the blue team is feeling nervous about it . their first opponent is the red team composed of other number0 graders gave them a hard time . if they lost by number1 points and the red team scored number2 pointswhat is their team 's final score ?	- number2 number1
a car dealer sold number0 cars on the first day number1 cars on the second day and number2 cars on the third day .how many cars did the car dealer sell on the number3 days ?	+ + number0 number1 number2
isabel had number0 pieces of candy . her friend gave her number1 more pieces .how many pieces of candy did isabel have total ?	+ number0 number1
there are number0 eggs in margaret 's egg collection . if the eggs are organized into number1 groupshow big is each group ?	/ number0 number1
after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made number0 pen holders from the milk bottles and annie was able to make number1how many pen holders were made ?	+ number0 number1
they also gathered paper to create some star-shaped papier-mache . if each star requires number0 pieces of paper and they had number1 pieces of paperhow many stars were they able to make ?	/ number1 number0
at the arcade dave had won number0 tickets . if he used number1 to buy some toyshow many tickets did dave have left ?	- number0 number1
helen the hippo and her friends are preparing for thanksgiving at helen 's house . helen baked number0 chocolate chip cookies yesterday and number1 cookies this morning .how many cookies did helen bake ?	+ number0 number1
when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual .how many minutes did it take stanley to get to the top ?	* number0 number1
next on his checklist are wax glues to stick the feathers together . if the feathers require number0 g of wax and right now he just needs number1 ghow many grams of wax glue does he already have ?	- number0 number1
mrs. hilt baked pies last weekend for a holiday dinner . she baked number0 pecan pies and number1 apples pies . if she wants to arrange all of the pies in rows of number2 pies eachhow many rows will she have ?	/ + number0 number1 number2
anne had number0 sweettarts . if anne gave equal numbers of sweettarts to her number1 friendshow many sweettarts did each person eat ?	/ number0 number1
mike collected number0 cans to recycle on monday and number1 more on tuesday .how many cans did mike collect all together ?	+ number0 number1
haley watched tv for number0 hours on saturday and number1 hours on sunday .how many hours did haley watch tv total ?	+ number0 number1
julian is writing a comic book . his story has number0 frames in all . if he wants to put exactly number1 frames on each pagehow many pages would he have ?	/ number0 number1
beth has number0 crayons . she gives number1 of them away to jen .how many crayons does beth have left ?	- number0 number1
charlie an aspiring inventor is planning to make some wings to fulfill his dream to fly around the world . he started by collecting feathers . he needs number0 feathers and he already has number1 howmany more feathers does he need to collect ?	- number0 number1
josh had number0 marbles in his collection . he lost number1 marbles .how many marbles does he have now ?	- number0 number1
the central city zoo has number0 chimpanzees . every day the chimps eat a total of number1 bananas . next week the zoo is moving number2 chimps to a new cage .how many chimps will stay in the old cage ?	- number0 number2
adam had number0 dollars saved up . after doing some chores his mother gave him another number1 dollars .how much money does he have total ?	+ number0 number1
after the mountain country she went to the famous beach on the continent . there she collected number0 seashells of different colors . if she has number1 red shells and number2 green shellshow many shells are not red or green ?	- number0 + number1 number2
dave had number0 apps on his phone . after deleting some he had number1 left .how many apps did he delete ?	- number0 number1
at the fair kaleb bought number0 tickets . after riding the ferris wheel he had number1 tickets left . if each ticket cost number2 dollarshow much money did kaleb spend riding the ferris wheel ?	* - number0 number1 number2
ben was also given number0 trays of eggs to examine . if each tray has number1 eggshow many eggs did ben examine in total ?	* number0 number1
a mailman had to give number0 pieces of junk mail and number1 magazines to a house .how many pieces of mail did he deliver total ?	+ number0 number1
there are number0 trees in a park . number1 of them are huge ancient oaks and another number2 of them are medium-sized fir trees . the rest are saplings .how many saplings are in the park ?	- - number0 number1 number2
at the arcade henry had won number0 tickets . later he won number1 more tickets .how many tickets did henry have total ?	+ number0 number1
if each ball costs $ number0how much must kyoko pay for number1 balls ?	* number0 number1
diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .what 's the difference between the cost of the cookies and the money of diane ?	- number0 number1
peter wants to split a collection of pencils into groups of number0 peter has number1 pencils .how many groups will be created ?	/ number1 number0
tom bought number0 tickets at the state fair . he spent number1 tickets at the 'dunk a clown ' booth and decided to use the rest on rides . if each ride cost number2 ticketshow many rides could he go on ?	/ - number0 number1 number2
for halloween oliver got number0 pounds of candy . after giving some to janet he had number1 pounds left .how many pounds did he give to janet ?	- number0 number1
at a bus stop number0 people got off the bus . now there were number1 people on the bus .how many people were on the bus before ?	+ number0 number1
isabella 's hair is number0 cubes long . if her hair grows number1 more incheshow long will it be ?	+ number0 number1
debby was placing her spare change into stacks . number0 stack had number1 coins and the other had number2 howmany coins did she have total ?	+ number1 number2
misha has number0 dollars .how many dollars does she have to earn to have number1 dollars to buy a dog ?	- number1 number0
there were number0 people on the train . at the next stop number1 people got off .how many people are there on the train now ?	- number0 number1
frannie and meg are in a jump rope contest . frannie jumped number0 times without missing . she jumped number1 fewer times than meg .how many times did meg jump ?	+ number0 number1
bianca had number0 coloring books . if she gave away number1 of them but then bought number2 morehow many would she have total ?	+ - number0 number1 number2
james ate number0 carrot sticks before dinner and number1 more after dinner .how many carrot sticks did he eat ?	+ number0 number1
number0 children are taking a bus to the zoo . they sit number1 children in every seat .how many seats will the children need in all ?	/ number0 number1
shiela was into history of asia . she can read number0 pages per hour of the book entitled `` asia 's history made easy '' . if the encyclopedia has number1 pageshow many hours did it take shiela to finish reading the book ?	/ number1 number0
christmas is near . mr. anderson president of nice people inc. organized a charity event to share happiness to the less fortunate people . the first thing that he did is to visit an orphanage . there he dressed up as santa and gave toys to the children . if he gave number0 toy cars to the boys and number1 dolls to the girlshow many toys did he give to all ?	+ number0 number1
sam and erica have $ number0 together . sam has $ number1 .how does erica have ?	- number0 number1
jane has number0 old brown sheets of drawing paper and number1 old yellow sheets of drawing paper .how many pieces of drawing paper does she have ?	+ number0 number1
for paige 's birthday she received number0 dollars from her friends and number1 dollars from her relatives .how much money did she get for her birthday ?	+ number0 number1
the following month the number0 friends met again to share their collections . carl having the most number of stamps among all of them decided to give away some of his collections . if he has number1 stamps during that month and he gave away number2how many stamps were left with him ?	- number1 number2
the next act involved several jugglers . if each juggler is juggling number0 balls at a timehow many balls are needed if there are number1 jugglers putting a show at the same time ?	* number0 number1
debby owned number0 dvds . if she sold number1 of themhow many would she have left ?	- number0 number1
hazel and her father both love going on fishing trips . this year they planned to go around the great lakes for a unique fishing experience . their first stop is lake ontario . hazel and her father decided to have a contest between them . if hazel caught number0 salmons and her dad caught number1how many salmons did they catch in total ?	+ number0 number1
josh had number0 pencils . he gave number1 pencils to dorothy .how many pencils does josh have left ?	- number0 number1
there were number0 pieces of candy in a jar . if number1 pieces were red and the rest were bluehow many were blue ?	- number0 number1
after the framework was finished they asked number0 monkeys and number1 termites to finish the rest of the building .how many workers finished the rest of the construction ?	+ number0 number1
amy has number0 balloons . number1 of them are red and number2 are green . the rest of the balloons are blue .how many blue balloons does amy have ?	- - number0 number1 number2
tom read number0 books in may number1 in june and number2 in july .how many books did tom read ?	+ + number0 number1 number2
it 's getting dark so he decided to take number0 last stop . he took a cab to the metropolitan museum of art . if he saw number1 pieces of asian art and number2 pieces of egyptian arthow many pieces of art did he see ?	+ number1 number2
j.t . has some superhero trading cards . he lost number0 of them . he gave number1 of them to his best friend . now he has number2 cards left .how many cards did j.t . have at first ?	+ + number2 number0 number1
carla has some marbles . she bought number0 marbles . now she has number1 marbles .how many did she start with ?	- number1 number0
mike made number0 dollars mowing lawns over the summer . if he spent number1 dollars buying new mower bladeshow many number2 dollar games could he buy with the money he had left ?	/ - number0 number1 number2
peter has number0 tickets and number1 pencils . if he shares the tickets among number2 friendshow many tickets does each friend get ?	/ number0 number2
